CENT_X,CENT_Y,BusinessID,Name,StreetNo,StreetName,UnitNo,PostalCode,Location,Ward,NAICSSector,EmplRange,Phone,Fax,Email,WebAddress
s,s,bus,nam12345,s,s,s,s,s,s,nac,emp,s,s,s,s
s,s,bus,nam2,s,s,s,s,s,s,nac,emp,s,s,s,s
x,y,bus,nam3,105,cre,1,ly64g1,loca,ward,nac,emp,ph,fax,em,web
x,y,bus,nam4,105,cre,1,ly64g1,loca,ward,nac,emp,ph,fax,em,web
x,y,bus,nam5,105,cre,1,ly64g1,loca,ward,nac,emp,ph,fax,em,web
x,y,bus,nam6,105,cre,1,ly64g1,loca,ward,nac,emp,ph,fax,em,web
x,y,bus,nam7,105,cre,1,ly64g1,loca,ward,nac,emp,ph,fax,em,web
x,y,bus,nam8,105,cre,1,ly64g1,loca,ward,nac,emp,ph,fax,em,web
x,y,bus,nam9,105,cre,1,ly64g1,loca,ward,nac,emp,ph,fax,em,web
x,y,bus,nam10,105,cre,1,ly64g1,loca,ward,nac,emp,ph,fax,em,web
x,y,bus,nam11,105,cre,1,ly64g1,loca,ward,nac,emp,ph,fax,em,web
s,s,bus,nam1test,s,s,s,s,s,s,nac,emp,s,s,s,s
